title,studio,foreign_gross,year,original_language,popularity,release_date,vote_count,production_budget,domestic_gross,worldwide_gross,vote_average,start_year,runtime_minutes,genres,averagerating,numvotes,profit,profit_margin,release_month,release_month_name,release_quarter
killers,LGF,51100000.0,2010,en,10.221,2010-06-04,1314,75000000.0,47059963.0,95572749.0,5.8,2010,100.0,"Action,Comedy,Romance",5.4,82237,20572749.0,0.27430332,6,June,2
killers,LGF,51100000.0,2010,en,10.221,2010-06-04,1314,75000000.0,47059963.0,95572749.0,5.8,2014,137.0,"Action,Crime,Drama",6.5,4472,20572749.0,0.27430332,6,June,2
kickass,LGF,48100000.0,2010,en,13.08,2010-04-16,7540,28000000.0,48071303.0,97531134.0,7.1,2010,117.0,"Action,Comedy",7.6,497363,69531134.0,2.4832547857142857,4,April,2
green zone,Uni.,59800000.0,2010,en,11.519,2010-03-11,1176,100000000.0,35497337.0,97523020.0,6.4,2010,115.0,"Action,Drama,Thriller",6.8,122132,-2476980.0,-0.0247698,3,March,1
get him to the greek,Uni.,30300000.0,2010,en,8.485,2010-06-04,980,40000000.0,61153526.0,91455875.0,5.9,2010,109.0,"Adventure,Comedy,Music",6.4,161653,51455875.0,1.286396875,6,June,2
burlesque,SGem,50100000.0,2010,en,8.676,2010-11-23,1195,55000000.0,39440655.0,90552675.0,7.1,2010,119.0,"Drama,Music,Musical",6.4,71021,35552675.0,0.6464122727272728,11,November,4
the last song,BV,26100000.0,2010,en,9.237,2010-03-31,2199,20000000.0,62950384.0,92678948.0,7.2,2010,107.0,"Drama,Music,Romance",6.0,74914,72678948.0,3.6339474,3,March,1
dinner for schmucks,P/DW,13800000.0,2010,en,6.632,2010-07-30,920,69000000.0,73026337.0,86796502.0,5.6,2010,114.0,Comedy,5.9,91546,17796502.0,0.2579203188405797,7,July,3
marmaduke,Fox,50100000.0,2010,en,8.487,2010-06-04,367,50000000.0,33644788.0,89895930.0,5.1,2010,87.0,"Comedy,Family",4.2,13283,39895930.0,0.7979186,6,June,2
piranha 3d,W/Dim.,58200000.0,2010,en,11.302,2010-08-20,1029,24000000.0,25003155.0,83660160.0,5.3,2010,88.0,"Comedy,Horror",5.4,81327,59660160.0,2.48584,8,August,3
